Season,name,position,team,total_points,bps,clean_sheets,bonus,influence,ict_index,minutes,goals_scored,threat,assists,creativity,value,selected
2021-22,Ben Godfrey,DEF,Everton,1,13,0,0,14.8,1.6,90,0,0.0,0,0.7,4.8,42832
2021-22,William Troost-Ekong,DEF,Watford,0,8,0,0,2.6,0.7,90,0,4.0,0,0.1,4.4,9734
2021-22,Craig Dawson,DEF,West Ham,1,16,0,0,28.6,2.9,90,0,0.0,0,0.3,4.9,21766
2021-22,Jonny Evans,DEF,Leicester,4,30,0,0,37.6,7.0,90,0,9.0,1,23.3,5.4,16034
2021-22,Kurt Zouma,DEF,West Ham,1,10,0,0,11.4,1.2,90,0,0.0,0,0.5,5.4,152627
2021-22,Mads Roerslev Rasmussen,DEF,Brentford,1,3,0,0,4.0,0.4,13,0,0.0,0,0.0,4.3,4281
2021-22,Craig Cathcart,DEF,Watford,0,13,0,0,20.8,2.1,90,0,0.0,0,0.2,4.4,8483
2021-22,Michael Keane,DEF,Everton,2,16,0,0,18.8,2.8,90,0,8.0,0,1.4,5.0,234459
2021-22,Adam Masina,DEF,Watford,0,9,0,0,24.8,5.9,90,0,9.0,0,25.4,4.3,6690
2021-22,Lucas Digne,DEF,Everton,3,26,0,1,27.0,8.1,90,0,13.0,0,41.2,5.1,465475
2021-22,Rúben Santos Gato Alves Dias,DEF,Man City,2,14,0,0,15.8,3.6,90,0,18.0,0,2.0,6.0,2017986
2021-22,Aaron Cresswell,DEF,West Ham,2,8,0,0,11.6,2.5,60,0,8.0,0,5.6,5.5,1199662
2021-22,Kyle Walker,DEF,Man City,2,8,0,0,13.8,2.5,90,0,3.0,0,8.5,5.5,604038
2021-22,Timothy Castagne,DEF,Leicester,1,8,0,0,14.8,3.3,90,0,2.0,0,16.3,5.3,51724
2021-22,Seamus Coleman,DEF,Everton,2,23,0,0,32.8,8.0,90,0,10.0,0,37.0,4.9,34349
2021-22,Diego Llorente,DEF,Leeds,5,18,1,0,15.6,1.6,90,0,0.0,0,0.4,4.5,45618
2021-22,Pascal Struijk,DEF,Leeds,1,8,0,0,8.6,4.1,45,0,2.0,0,30.5,4.4,15600
2021-22,Marc Cucurella,DEF,Brighton,9,35,1,3,24.8,5.3,90,0,5.0,0,22.8,5.0,97311
2021-22,Lewis Dunk,DEF,Brighton,6,24,1,0,8.0,0.9,90,0,0.0,0,0.9,5.0,388730
2021-22,Héctor Junior Firpo Adames,DEF,Leeds,0,-2,0,0,2.4,0.6,45,0,2.0,0,1.5,4.7,28091
2021-22,Tariq Lamptey,DEF,Brighton,8,31,1,2,19.0,9.1,75,0,8.0,0,63.5,4.4,75960
2021-22,Liam Cooper,DEF,Leeds,6,23,1,0,19.6,2.0,90,0,0.0,0,0.0,4.5,36097
2021-22,Adam Webster,DEF,Brighton,6,20,1,0,7.2,1.5,90,0,0.0,0,7.8,4.4,16628
2021-22,Joël Veltman,DEF,Brighton,6,25,1,0,11.2,1.6,90,0,2.0,0,2.8,4.3,74013
2021-22,Matt Targett,DEF,Aston Villa,8,23,0,0,51.4,7.2,90,1,17.0,0,3.3,4.7,188890
2021-22,Mohammed Salisu,DEF,Southampton,0,15,0,0,21.8,2.2,90,0,0.0,0,0.3,4.5,22621
2021-22,Ibrahima Konaté,DEF,Liverpool,6,26,1,0,22.2,2.3,90,0,0.0,0,0.3,5.1,101336
2021-22,Kyle Walker-Peters,DEF,Southampton,1,4,0,0,1.0,0.1,2,0,0.0,0,0.0,4.8,44510
2021-22,Rayan Ait Nouri,DEF,Wolves,6,19,1,0,19.8,6.2,90,0,21.0,0,21.1,4.3,41808
2021-22,Andrew Robertson,DEF,Liverpool,12,45,1,3,37.0,9.4,90,0,4.0,1,53.0,7.0,144176
2021-22,Brandon Williams,DEF,Norwich,7,28,1,1,14.0,1.8,90,0,0.0,0,4.3,3.9,421479
2021-22,Ashley Young,DEF,Aston Villa,9,30,1,0,22.6,7.1,84,0,26.0,1,22.2,4.7,42705
2021-22,Jan Bednarek,DEF,Southampton,-1,-2,0,0,1.8,0.9,45,0,7.0,0,0.0,4.4,75526
2021-22,Tyrone Mings,DEF,Aston Villa,2,13,0,0,11.0,1.6,90,0,4.0,0,0.7,4.9,567550
2021-22,Joel Ward,DEF,Crystal Palace,0,18,0,0,21.2,4.5,90,0,4.0,0,19.8,4.5,25994
2021-22,Matthew Cash,DEF,Aston Villa,1,12,0,0,15.2,2.3,90,0,4.0,0,3.9,5.1,317949
2021-22,Conor Coady,DEF,Wolves,8,29,1,2,21.2,2.6,90,0,4.0,0,0.3,4.5,509283
2021-22,Cheikhou Kouyaté,DEF,Crystal Palace,5,31,0,1,36.4,5.5,90,0,2.0,1,16.8,4.5,62690
2021-22,Ki-Jana Hoever,DEF,Wolves,1,2,0,0,0.0,0.0,1,0,0.0,0,0.0,3.9,164602
2021-22,Max Kilman,DEF,Wolves,6,25,1,0,12.8,1.7,90,0,2.0,0,2.1,4.5,38203
2021-22,Ben Gibson,DEF,Norwich,5,25,1,0,11.4,1.2,90,0,0.0,0,1.0,4.4,6087
2021-22,Romain Saïss,DEF,Wolves,6,24,1,0,21.8,2.3,90,0,0.0,0,1.4,5.0,94707
2021-22,Lyanco Evangelista Silveira Neves Vojnovic,DEF,Southampton,0,9,0,0,23.2,2.3,90,0,0.0,0,0.2,4.4,1817
