Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
,Youri Tielemans,MID,,2,11,14.2,0,4.4,0,8.0,90,21.9,0,66,0,608036
,Anwar El Ghazi,MID,,2,8,7.4,0,4.6,0,8.0,79,30.8,0,55,0,82856
,Ashley Westwood,MID,,8,26,29.4,0,6.0,2,4.0,90,26.6,1,54,1,22454
,Christian Atsu,MID,,2,3,1.6,0,1.8,0,2.0,79,13.9,0,54,0,9684
,James Maddison,MID,,2,17,23.8,0,13.6,0,26.0,90,86.0,0,78,0,2022473
,Jack Cork,MID,,3,8,14.4,0,3.6,0,19.0,90,2.5,0,49,1,12971
,Joshua King,FWD,,2,3,0.8,0,5.4,0,42.0,74,10.9,0,61,1,290945
,Ben Osborn,MID,,1,3,0.0,0,0.0,0,0.0,1,0.0,0,47,0,2274
,Chris Wood,FWD,,9,27,30.6,1,9.1,3,57.0,84,3.4,0,62,1,69349
,Joelinton Cássio Apolinário de Lira,FWD,,1,11,2.2,0,3.6,0,5.0,90,28.4,0,56,0,69638
,Douglas Luiz Soares de Paulo,MID,,1,3,4.6,0,0.6,0,0.0,24,1.2,0,45,0,266698
,Will Hughes,MID,,1,13,9.2,0,1.3,0,1.0,90,2.8,0,54,0,27674
,Sadio Mané,MID,,6,15,23.4,0,7.0,0,31.0,90,15.2,1,123,1,3076237
,Georginio Wijnaldum,MID,,1,5,7.6,0,0.9,0,0.0,58,1.8,0,54,0,198242
,Mohamed Salah,MID,,16,38,69.8,2,19.9,3,125.0,90,3.9,0,122,1,1582495
,Alex Oxlade-Chamberlain,MID,,1,1,0.6,0,0.1,0,0.0,20,0.8,0,62,0,51442
,Abdoulaye Doucouré,MID,,2,14,7.0,0,5.4,0,13.0,86,33.5,0,56,0,64054
,Domingos Quina,MID,,1,3,0.0,0,0.0,0,0.0,3,0.0,0,44,0,6726
,Andre Gray,FWD,,1,2,1.2,0,0.3,0,2.0,15,0.2,0,56,0,27681
,Troy Deeney,FWD,,2,8,7.8,0,2.1,0,0.0,74,13.6,0,62,0,37980
,Xherdan Shaqiri,MID,,3,7,0.0,0,0.7,0,4.0,69,3.3,0,63,1,18455
,Divock Origi,FWD,,4,15,15.0,0,2.9,0,4.0,2,10.0,1,52,0,208310
,Jordan Henderson,MID,,2,7,5.6,0,2.3,0,5.0,90,12.7,0,54,1,75776
,Roberto Firmino,FWD,,2,12,20.6,0,7.2,0,38.0,87,13.1,0,93,1,635317
,James Milner,MID,,2,12,9.2,0,3.1,0,3.0,90,18.8,0,53,1,42480
,Nicolas Pépé,MID,,12,33,39.0,1,7.4,2,27.0,87,7.7,1,91,0,162245
,Granit Xhaka,MID,,2,11,6.4,0,2.4,0,8.0,85,9.2,0,52,0,46591
,Declan Rice,MID,,2,20,20.8,0,3.8,0,13.0,90,3.7,0,47,0,102922
,Pierre-Emerick Aubameyang,MID,,12,44,53.8,1,12.4,3,44.0,90,26.1,1,109,0,1560111
,Lucas Torreira,MID,,2,18,13.2,0,4.6,0,19.0,90,13.6,0,47,0,86928
,Mark Noble,MID,,2,12,9.0,0,3.3,0,9.0,90,14.8,0,50,0,41035
,Gabriel Teodoro Martinelli Silva,MID,,7,32,44.2,1,11.3,1,57.0,90,11.5,0,45,0,107740
,Michail Antonio,FWD,,2,4,4.0,0,3.4,0,27.0,90,3.2,0,69,0,49783
,Sébastien Haller,FWD,,1,2,0.0,0,0.0,0,0.0,20,0.3,0,70,0,183224
,Felipe Anderson Pereira Gomes,MID,,2,12,6.0,0,3.7,0,16.0,69,15.1,0,67,0,225946
,Pablo Fornals,MID,,5,16,21.2,0,5.6,0,14.0,90,21.1,1,60,0,19910
,Robert Snodgrass,MID,,1,9,7.2,0,5.0,0,24.0,77,18.4,0,52,0,24585
,Matteo Guendouzi,MID,,1,3,4.8,0,0.7,0,0.0,4,2.3,0,46,0,588275
,Reiss Nelson,MID,,1,3,0.2,0,0.2,0,0.0,2,1.6,0,53,0,7045
,Mesut Özil,MID,,2,9,7.2,0,4.8,0,9.0,90,31.3,0,72,0,65997
,Adama Traoré,MID,,2,18,14.0,0,6.7,0,50.0,90,3.4,0,52,0,342825
,Raúl Jiménez,FWD,,5,20,25.2,0,8.2,0,12.0,84,44.8,1,76,0,1501317
,João Filipe Iria Santos Moutinho,MID,,2,15,10.4,0,3.3,0,0.0,90,22.8,0,54,0,395451
,Leandro Trossard,MID,,5,20,20.8,0,5.7,0,5.0,67,31.0,1,58,0,23168
,Davy Pröpper,MID,,7,26,34.0,1,5.6,0,17.0,90,5.3,0,49,0,26508
,Pascal Groß,MID,,2,9,9.8,0,5.7,0,17.0,67,29.8,0,64,0,40792
,Dale Stephens,MID,,5,27,35.0,0,5.2,1,3.0,90,14.3,1,44,0,171141
,Alireza Jahanbakhsh,MID,,1,4,2.2,0,0.7,0,2.0,22,2.3,0,58,0,4521
,Aaron Mooy,MID,,2,10,5.2,0,1.8,0,8.0,90,4.5,0,48,0,11977
,Glenn Murray,FWD,,1,1,2.2,0,0.3,0,0.0,22,0.5,0,55,0,57816
,Leander Dendoncker,MID,,2,14,16.4,0,1.7,0,0.0,90,0.3,0,44,0,692460
,Neal Maupay,FWD,,8,28,39.4,1,11.9,2,77.0,90,2.3,0,58,0,71456
,Diogo Jota,MID,,13,48,68.0,2,16.9,3,95.0,76,5.8,0,61,0,216385
,Patrick Cutrone,FWD,,1,2,3.0,0,2.2,0,19.0,5,0.3,0,56,0,40684
,Pedro Lomba Neto,MID,,1,2,0.0,0,0.2,0,2.0,13,0.1,0,50,0,2826
,Rúben Diogo da Silva Neves,MID,,2,12,11.4,0,3.9,0,1.0,90,26.7,0,53,0,382767
,Steven Alzate,MID,,2,15,15.8,0,5.8,0,18.0,90,24.4,0,45,0,5327
,Callum Robinson,FWD,,0,-4,0.0,0,0.5,0,6.0,25,1.5,0,52,0,24055
,John McGinn,MID,,1,10,12.0,0,4.3,0,9.0,90,21.5,0,58,0,687714
,Sofiane Boufal,MID,,1,0,2.6,0,2.0,0,6.0,17,11.3,0,55,0,7604
,Miguel Almirón,MID,,2,9,8.8,0,5.4,0,28.0,84,17.2,0,58,0,31057
,Isaac Hayden,MID,,2,8,8.4,0,1.4,0,4.0,90,1.8,0,44,0,283633
