,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
60493,1,11,5.4,0,1.2,0,0.0,71,6.3,0,48,0,898843
60494,0,10,22.4,0,2.3,0,0.0,90,0.3,0,48,0,23277
60495,11,34,38.8,0,3.9,3,0.0,90,0.0,0,45,1,216803
60496,6,26,18.8,0,1.9,0,0.0,90,0.0,0,45,1,212199
60497,0,0,0.0,0,0.0,0,0.0,0,0.0,0,59,0,3196
60498,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,9069
60499,2,11,15.4,0,1.5,0,0.0,90,0.0,0,50,0,31527
60500,1,5,8.0,0,3.9,0,0.0,71,30.7,0,49,0,26576
60501,2,7,10.8,0,2.0,0,8.0,65,1.4,0,50,1,17098
60502,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,3448
60503,0,12,16.0,0,1.6,0,0.0,90,0.0,0,44,0,37422
60504,0,5,18.0,0,3.5,0,17.0,45,0.4,0,49,0,7729
60505,2,13,13.6,0,4.4,0,6.0,90,24.3,0,68,1,43284
60506,0,0,0.0,0,0.0,0,0.0,0,0.0,0,64,0,1598
60507,1,2,2.6,0,0.3,0,0.0,21,0.2,0,45,0,119952
60508,11,33,52.8,1,11.7,2,60.0,90,3.9,1,59,0,136018
60509,0,4,4.4,0,0.4,0,0.0,6,0.0,0,47,0,13742
60510,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,25542
60511,15,49,69.0,2,12.1,3,44.0,83,8.2,0,72,0,37606
60512,1,18,26.0,0,4.1,0,0.0,90,15.3,0,51,0,478005
60513,0,15,15.2,0,2.1,0,4.0,90,1.3,0,57,0,62481
60514,6,20,35.6,1,8.1,0,43.0,21,2.3,0,57,0,41342
60515,2,15,21.8,0,5.2,0,17.0,90,13.6,0,50,0,1010460
60516,1,15,17.8,0,3.0,0,0.0,90,12.0,0,50,0,32983
60517,1,4,2.0,0,2.0,0,6.0,11,11.5,0,78,0,143662
60518,2,13,17.8,0,3.0,0,5.0,90,7.2,0,81,0,800220
60519,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,31590
60520,2,1,1.8,0,3.0,0,12.0,90,15.8,0,109,0,383762
60521,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,43508
60522,5,15,25.6,0,4.9,0,10.0,84,13.5,1,67,0,244373
60523,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,3181
60524,0,0,0.0,0,0.0,0,0.0,0,0.0,0,54,0,3775
60525,1,16,22.4,0,2.3,0,0.0,90,0.6,0,48,0,50297
60526,6,28,24.8,0,10.0,1,23.0,72,52.3,1,74,0,331320
60527,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,7178
60528,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,78819
60529,2,12,7.8,0,3.5,0,6.0,68,21.5,0,59,0,57306
60530,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,26838
60531,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,3306
60532,0,0,0.0,0,0.0,0,0.0,0,0.0,0,57,0,107019
60533,1,9,23.6,0,2.6,0,2.0,90,0.0,0,58,0,111654
60534,1,10,14.4,0,3.2,0,8.0,90,9.7,0,70,0,2646049
60535,1,17,11.2,0,3.4,0,6.0,90,16.7,0,64,0,597444
