Season,name,position,assists,bonus,bps,clean_sheets,creativity,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,match_date,team,opp_team_rating,team_rating
2021-22,Fabian Delph,MID,0,0,4,0,0.4,132,1,0,0.2,1.8,17,0,0,0,0,14,0,27946,4.0,1.0,0.0,1,-407,546,953,44,1,0,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Allan Marques Loureiro,MID,0,0,14,0,1.7,132,4,0,1.4,12.4,90,0,0,0,0,14,0,482307,4.0,1.0,0.0,1,-7864,16181,24045,45,1,1,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Fabio Henrique Tavares,MID,0,0,12,0,11.8,132,1,0,2.6,14.4,90,0,0,0,0,14,0,61840,4.0,1.0,0.0,2,-400,1726,2126,54,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Jack Grealish,MID,0,0,3,0,2.1,131,0,0,0.6,0.2,3,0,0,0,0,14,0,764067,2.0,1.0,4.0,1,-49377,301,49678,76,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Riyad Mahrez,MID,0,0,16,0,42.0,131,1,0,9.1,12.2,90,0,0,0,0,14,0,215718,2.0,1.0,37.0,2,7851,13649,5798,86,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Cenk Tosun,FWD,0,0,3,0,0.1,132,0,0,0.0,0.0,5,0,0,0,0,14,0,2676,4.0,1.0,0.0,1,277,654,377,50,1,0,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Mohamed Salah,MID,0,3,42,0,5.4,132,1,2,14.4,69.2,90,0,0,0,0,14,0,6310003,4.0,1.0,69.0,15,4839,24856,20017,130,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Raheem Sterling,MID,1,0,13,0,60.8,131,1,0,11.5,36.6,90,0,0,0,0,14,0,110287,2.0,1.0,18.0,5,845,3715,2870,106,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Carney Chukwuemeka,MID,0,0,-1,0,0.8,131,0,0,2.7,5.0,23,0,0,0,0,14,0,3595,2.0,1.0,21.0,1,-48,77,125,45,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,James Milner,MID,0,0,5,0,0.8,132,0,0,0.5,4.4,15,0,0,0,0,14,0,6935,4.0,1.0,0.0,1,12,184,172,49,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
