Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
2021-22,Jarrod Bowen,MID,West Ham,2,-2,8.2,0,3.7,0,27.0,90,2.2,0,64,0,270907
2021-22,Francisco Machado Mota de Castro Trincão,MID,Wolves,1,2,2.2,0,3.3,0,20.0,6,11.0,0,57,0,30991
2021-22,Manuel Lanzini,MID,West Ham,1,4,2.4,0,0.7,0,2.0,14,2.7,0,58,0,12043
2021-22,Moussa Sissoko,MID,Watford,6,22,32.0,0,7.9,1,21.0,90,25.8,1,45,0,216007
2021-22,Ruben Loftus-Cheek,MID,Chelsea,2,9,3.6,0,2.8,0,8.0,90,16.3,0,54,0,15747
2021-22,Mohamed Elyounoussi,MID,Southampton,1,3,0.0,0,0.3,0,3.0,16,0.6,0,55,0,12684
2021-22,Leander Dendoncker,MID,Wolves,3,12,20.8,0,7.8,0,19.0,90,37.8,0,48,1,11214
2021-22,Hee-Chan Hwang,FWD,Wolves,1,9,12.2,0,6.4,0,35.0,84,16.4,0,58,1,1055879
2021-22,Johann Berg Gudmundsson,MID,Burnley,3,8,3.4,0,0.9,0,4.0,71,1.6,0,54,1,5462
2021-22,Mason Mount,MID,Chelsea,12,34,57.6,1,9.7,2,23.0,90,16.4,1,74,0,1111684
2021-22,Christian Pulisic,MID,Chelsea,2,9,6.4,0,2.9,0,10.0,90,12.2,0,79,0,58086
2021-22,João Filipe Iria Santos Moutinho,MID,Wolves,3,15,9.8,0,4.2,0,1.0,90,31.1,0,50,1,49944
2021-22,Oriol Romeu Vidal,MID,Southampton,1,11,12.6,0,3.7,0,2.0,90,22.6,0,45,0,54277
2021-22,Neal Maupay,FWD,Brighton,8,30,39.6,1,8.8,3,31.0,90,17.3,0,64,0,215745
2021-22,Ayoze Pérez,MID,Leicester,1,4,6.6,0,2.4,0,7.0,29,10.3,0,57,0,9811
